source,longitude,latitude,title,propertytype,provider,description,address,totalunits,url,hidden
,-64.50727874,44.38491723,Miller Manor Bridgewater,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"107 Miller Drive, Bridgewater, B4V 3J6, Canada",25,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-59.87144095,46.1858084,Donkin,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"10 Second St, Donkin, B0A 1A0, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-60.08794568,46.24805238,Smith Street S/C,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,,20,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-62.66752109,45.55681243,Birch Hill II Phase 4,Seniors,Eastern Mainland Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"43 Acadia (101-208), RR1 Stellarton, BOK 1SO, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-63.27563137,45.36532006,H.A. Johnson Manor,Seniors,Cobequid Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"9 Church Street, Truro, B2N 3Z5, Canada",23,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-60.08048409,46.24199346,Nicholson Avenue S/C,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"3142 Nicholson Avenue, New Waterford, B1H 1N8, Canada",30,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-60.19631932,46.12272423,Alexandra St,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"235 Alexandra St, Sydney, B1S 3A4, Canada",57,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-63.50250332,45.31729935,Cobequid Bay Manor,Seniors,Cobequid Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"59 Maple Ave, Maitland N S, B0N 1T0, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-61.30242174,46.23168338,Church Street,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"119 Church Street, Inverness, B0E 1N0, Canada",10,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-64.70826641,44.03637485,Waterloo Place II Queens,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"12 Hollands Drive, Liverpool, B0T 1K0, Canada",10,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-64.7286658,45.03516542,Fundy Villa,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"108 Commercial Street, South Berwick, B0P 1E0, Canada",40,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-65.8013841,43.66115371,Belle Vue Apts,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"30 Abbotts Harbour Road, Middle West Pubnico, B0W 2M0, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-66.12237598,43.8245879,Church Hill Manor,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"41 Main Street, Yarmouth, B5A 1A5, Canada",20,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-62.64877518,45.59517497,Autumn Crest I,Seniors,Eastern Mainland Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"223 Abercrombie Rd., New Glasgow, B2H 1K7, Canada",20,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-66.10812631,43.85355916,Hibernia Heights,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"51 Hibernia Street, Yarmouth, B5A 2M7, Canada",30,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-64.45484467,45.06544688,Edgewood Hall,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"Highland Avenue, New Minas, B4N 3J5, Canada",55,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-61.09499824,45.90151583,Orangedale Road,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"1385 Orangedale Road, Orangedale, B0E 2K0, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-60.17124999,46.13223075,350 Terrace Street,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"350 Terrace Street, Sydney, B1P2M9, Canada",10,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-59.84751131,46.00452458,2891 Louisbourg/Man-A-Die,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"2884 Main-A-Dieu Road, Main-A-Dieu, B0A 1N0, Canada",6,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-63.65998622,44.73909208,Bedford Manor,Seniors,Metropolitan Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"51 Bridge Street, Bedford, B4A 2B9, Canada",25,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-66.13012775,44.24246081,Foyer Gabriel,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"77 Eustache Comeau Rd., Saulnierville, B0W 2Z0, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-64.20969836,45.83905998,Marshview Manor,Seniors,Cobequid Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"7 Summit Avenue, Amherst, B4H 2A6, Canada",20,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-64.2065344,45.82352276,Poplar Manor,Seniors,Cobequid Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"6 Poplar Street, Amherst, B4H 1L5, Canada",20,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-63.56039754,44.5717622,Margaret Latter Manor,Seniors,Metropolitan Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"144 Hebridean Drive, Armdale, B3L 4J5, Canada",14,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-60.22010704,46.24345478,Hillside/Cooke,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,,20,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-64.96041542,44.98781854,Garden View Manor I,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"365 Lincoln St., Kingston, B0P 1R0, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-62.64277859,45.57515682,East River Manor,Seniors,Eastern Mainland Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"695 East River Road, New Glasgow, B2H 5W6, Canada",20,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-64.70867009,44.03661369,Waterloo Place Queens,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"10 Hollands Drive, Liverpool, B0T 1K0, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-63.25720742,45.37852302,Allison Place,Seniors,Cobequid Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"40 Allison Avenue, Bible Hill, B2N 4L4, Canada",20,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
