source,longitude,latitude,title,propertytype,group,provider,description,address,units,url,hidden
,-71.0760562,48.4084340,Coop.Hab. Deux-Rivières ,Co-operative Housing,,,,"210 Rue du Cran, Chicoutimi, QC G7J 2K2, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_deux_rivieres.html,
,-71.0411688,48.4283151,Coop.Hab. Ebène ,Co-operative Housing,,,,"874 Rue Léonidas Bélanger, Chicoutimi, QC G7H, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_ebene.html,
,-71.0982320,48.4052603,Coop.Hab. Ecluse ,Co-operative Housing,,,,"889 Rue de l'Écluse bureau 12, Chicoutimi, QC G7J 4X3, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_ecluse.html,
,-71.0690643,48.4265798,Coop.Hab. Emile-Couture ,Co-operative Housing,,,,"12 Rue Jacques-Cartier O, Chicoutimi, QC G7J, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_emile_couture.html,
,-71.0675120,48.4278955,Coop.Hab. Espérance Saguenay ,Co-operative Housing,,,,"30 Rue Racine E bureau 110, Chicoutimi, QC G7H 1P5, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_esperance_saguenay.html,
,-71.9087797,45.2870190,Coop.Hab. Habitat 2000,Co-operative Housing,,,,"649 Rue Gosselin, Waterville, QC J0B 3H0, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_habitat_2000.html,
,-71.0760562,48.4084340,Coop.Hab. Jeannoise Roberval ,Co-operative Housing,,,,"210 Rue du Cran, Chicoutimi, QC G7J 2K2, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_jeannoise_roberval.html,
,-73.5818363,45.4741625,Coop.Hab. La Loge d'à Côté ,Co-operative Housing,,,,"21 Rue Saint-Philippe, Montréal, QC H4C 2T8, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_la_loge_da_cote.html,
,-71.0475528,48.4087357,Coop.Hab. Lanjevine Chicoutimi ,Co-operative Housing,,,,"1121 Rue Joseph Dandurand, Chicoutimi, QC G7H 7B1, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_lanjevine_chicoutimi.html,
,-71.6472180,48.5614357,Coop.Hab. Loginaud ,Co-operative Housing,,,,"894 Rue Armand, Alma, QC G8B 4C4, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_loginaud.html,
,-71.0512070,48.4081447,Coop.Hab. Lorenzo Genest ,Co-operative Housing,,,,"1200 Rue Lorenzo Genest, Chicoutimi, QC G7H 6N9, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_lorenzo_genest.html,
,-73.3494598,45.8291715,Coop.Hab. Maison de l'amitié ,Co-operative Housing,,,,"1291 Rue Notre-Dame, Saint-Sulpice, QC J5W 3V9, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_maison_de_lamitie.html,
,-71.6556920,48.5585850,Coop.Hab. Manoir des pins Alma ,Co-operative Housing,,,,"1120 Rue Price O, Alma, QC G8B 4T7, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_manoir_des_pins_alma.html,
,-71.2410445,48.4160827,Coop.Hab. Marguerite-Belley ,Co-operative Housing,,,,"2162 Rue Sainte Justine, Jonquière, QC G7X, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_marguerite_belley.html,
,-71.0793475,48.3878459,Coop.Hab. Métabetchouan ,Co-operative Housing,,,,"25 Rue Néron bureau  200, Chicoutimi, QC G7H 8B7, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_metabetchouan.html,
,-71.2129263,46.8157942,Coop.Hab. Mistral de Jonquière ,Co-operative Housing,,,,"2 Rue Saint Nicolas, Québec, QC G1K 6T2, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_mistral_de_jonquiere.html,
,-71.0367085,48.4281010,Coop.Hab. Moraine ,Co-operative Housing,,,,"1024 Rue Nil Tremblay, Chicoutimi, QC G7H 7K8, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_moraine.html,
,-71.0339678,48.4287812,Coop.Hab. Moulin ,Co-operative Housing,,,,"153 Rue Jean Langevin, Chicoutimi, QC G7H 3T9, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_moulin.html,
,-71.6628552,48.5493516,Coop.Hab. Nolin d'Alma ,Co-operative Housing,,,,"322 Avenue Nolin, Alma, QC G8B 3N6, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_nolin_dalma.html,
,-71.2239336,46.8052531,Coop.Hab. Pentagone ,Co-operative Housing,,,,"100 Rue de Maisonneuve, Québec, QC G1R, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_pentagone.html,
,-71.2407150,46.8283688,Coop.Hab. Place des Lilas ,Co-operative Housing,,,,"1729 Avenue de la Normandie, Québec, QC G1L 3Y4, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_place_des_lilas.html,
,-71.6434813,48.5459265,Coop.Hab. Quartier Latin Alma ,Co-operative Housing,,,,"5 Rue Sacré-Coeur O, Alma, QC G8B, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_quartier_latin_alma.html,
,-71.0760562,48.4084340,Coop.Hab. Roberval ,Co-operative Housing,,,,"210 Rue du Cran, Chicoutimi, QC G7J 2K2, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_roberval.html,
,-71.0675120,48.4278955,Coop.Hab. Saint-Alfred ,Co-operative Housing,,,,"30 Rue Racine E bureau 110, Chicoutimi, QC G7H 1P5, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_saint_alfred.html,
,-71.0793475,48.3878459,Coop.Hab. Source ,Co-operative Housing,,,,"25 Rue Néron bureau 200, Chicoutimi, QC G7H 8B7, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_source.html,
,-71.0793475,48.3878459,Coop.Hab. St-Eugène ,Co-operative Housing,,,,"25 Rue Néron bureau 200, Chicoutimi, QC G7H 8B7, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_st_eugene.html,
,-71.2634057,48.4140923,Coop.Hab. St-Georges ,Co-operative Housing,,,,"2190 Rue Saint Edmond, Jonquière, QC G8A 2G6, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_st_georges.html,
,-71.1135061,48.4360554,Coop.Hab. St-Jean-Eudes ,Co-operative Housing,,,,"2113 Boulevard du Saguenay O, Chicoutimi, QC G7J 1A7, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_st_jean_eudes.html,
,-71.0793475,48.3878459,Coop.Hab. Ste-Anne ,Co-operative Housing,,,,"25 Rue Néron bureau 200, Chicoutimi, QC G7H 8B7, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_ste_anne.html,
,-71.2429848,48.4164832,Coop.Hab. Ste-Berthe ,Co-operative Housing,,,,"2144 Rue Sainte Berthe, Jonquière, QC G7X 5G9, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_ste_berthe.html,
,-71.2245750,46.8164648,Coop Hab. Everell ,Co-operative Housing,,,,"275 Rue du Parvis bureau 205A, Québec, QC G1K 6G7, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_hab_everell.html,
,-71.4056808,46.8522766,Coop solida Habi. Métisse ,Co-operative Housing,,,,"1160 Boulevard Pie-XI S, Québec, QC G3K 1J4, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_solida_habi_metisse.html,
